355	Frankfurt-Hahn Airport	Hahn	Germany	HHN	EDFH	1
356	Mannheim-City Airport	Mannheim	Germany	MHG	EDFM	1
362	Hamburg-Finkenwerder Airport	Hamburg	Germany	XFW	EDHI	1
363	Kiel-Holtenau Airport	Kiel	Germany	KEL	EDHK	1
367	Arnsberg-Menden Airport	Arnsberg	Germany	ZCA	EDLA	1
368	Essen Mulheim Airport	Essen	Germany	ESS	EDLE	1
371	Paderborn Lippstadt Airport	Paderborn	Germany	PAD	EDLP	1
373	Dortmund Airport	Dortmund	Germany	DTM	EDLW	1
374	Augsburg Airport	Augsburg	Germany	AGB	EDMA	1
378	Oberpfaffenhofen Airport	Oberpfaffenhofen	Germany	OBF	EDMO	1
379	Straubing Airport	Straubing	Germany	RBM	EDMS	1
382	Friedrichshafen Airport	Friedrichshafen	Germany	FDH	EDNY	1
383	Schwerin Parchim Airport	Parchim	Germany	SZW	EDOP	1
384	Stendal-Borstel Airport	Stendal	Germany	ZSN	EDOV	1
386	Bayreuth Airport	Bayreuth	Germany	BYU	EDQD	1
388	Hof-Plauen Airport	Hof	Germany	HOQ	EDQM	1
390	Koblenz-Winningen Airport	Koblenz	Germany	ZNV	EDRK	1
392	Speyer Airport	Speyer	Germany	ZQC	EDRY	1
394	Donaueschingen-Villingen Airport	Donaueschingen	Germany	ZQL	EDTD	1
399	Braunschweig Wolfsburg Airport	Braunschweig	Germany	BWE	EDVE	1
400	Kassel-Calden Airport	Kassel	Germany	KSF	EDVK	1
402	Bremerhaven Airport	Bremerhaven	Germany	BRV	EDWB	1
403	Emden Airport	Emden	Germany	EME	EDWE	1
405	Wilhelmshaven-Mariensiel Airport	Wilhelmshaven	Germany	WVN	EDWI	1
406	Borkum Airport	Borkum	Germany	BMK	EDWR	1
407	Norderney Airport	Norderney	Germany	NRD	EDWY	1
410	Westerland Sylt Airport	Westerland	Germany	GWT	EDXW	1
413	Kuressaare Airport	Kuressaare	Estonia	URE	EEKE	2
415	Lennart Meri Tallinn Airport	Tallinn-ulemiste International	Estonia	TLL	EETN	2
416	Tartu Airport	Tartu	Estonia	TAY	EETU	2
417	Enontekio Airport	Enontekio	Finland	ENF	EFET	2
419	Halli Airport	Halli	Finland	KEV	EFHA	2
420	Helsinki Malmi Airport	Helsinki	Finland	HEM	EFHF	2
421	Helsinki Vantaa Airport	Helsinki	Finland	HEL	EFHK	2
428	Ivalo Airport	Ivalo	Finland	IVL	EFIV	2
429	Joensuu Airport	Joensuu	Finland	JOE	EFJO	2
430	Jyvaskyla Airport	Jyvaskyla	Finland	JYV	EFJY	2
431	Kauhava Airport	Kauhava	Finland	KAU	EFKA	2
432	Kemi-Tornio Airport	Kemi	Finland	KEM	EFKE	2
433	Kajaani Airport	Kajaani	Finland	KAJ	EFKI	2
435	Kokkola-Pietarsaari Airport	Kruunupyy	Finland	KOK	EFKK	2
437	Kuusamo Airport	Kuusamo	Finland	KAO	EFKS	2
439	Kuopio Airport	Kuopio	Finland	KUO	EFKU	2
441	Lappeenranta Airport	Lappeenranta	Finland	LPP	EFLP	2
442	Mariehamn Airport	Mariehamn	Finland	MHQ	EFMA	2
444	Mikkeli Airport	Mikkeli	Finland	MIK	EFMI	2
446	Oulu Airport	Oulu	Finland	OUL	EFOU	2
